Ip;datetime;Method HTTP;URL;code_status;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/bootstrap.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/scrollIt.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/jquery.waypoints.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/owl.carousel.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/jquery.magnific-popup.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/jquery.stellar.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/isotope.pkgd.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/validator.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/particles.min.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/autotype.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/aos.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/wscript.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/scripts.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/js/proj.js;200;
3.91.29.0;2023-10-14 05:18:32;GET;/libs/img/loader.gif;200;
3.91.29.0;2023-10-14 05:18:33;GET;/libs/img/iteams.png;200;
3.91.29.0;2023-10-14 05:18:33;GET;/libs/fonts/et-line.woff;200;
3.91.29.0;2023-10-14 05:18:33;GET;/libs/fonts/fontawesome-webfont-v%3d4.6.3.woff2;200;
205.210.31.147;2023-10-14 05:18:54;GET;/;200;
141.98.11.60;2023-10-14 05:20:30;GET;/;404;
64.227.142.93;2023-10-14 05:29:14;;;400;
64.227.142.93;2023-10-14 05:29:14;;;400;
64.227.142.93;2023-10-14 05:29:15;GET;/;404;
64.227.142.93;2023-10-14 05:29:15;GET;/form.html;404;
64.227.142.93;2023-10-14 05:29:16;GET;/upl.php;404;
64.227.142.93;2023-10-14 05:29:17;;;400;
64.227.142.93;2023-10-14 05:29:17;GET;/geoip/;404;
64.227.142.93;2023-10-14 05:29:18;GET;/;404;
64.227.142.93;2023-10-14 05:29:18;GET;/favicon.ico;404;
64.227.142.93;2023-10-14 05:29:19;GET;/1.php;404;
64.227.142.93;2023-10-14 05:29:20;GET;/bundle.js;404;
64.227.142.93;2023-10-14 05:29:20;GET;/files/;404;
64.227.142.93;2023-10-14 05:29:21;GET;/systembc/password.php;404;
64.227.142.93;2023-10-14 05:29:21;GET;/password.php;404;
64.227.142.93;2023-10-14 05:29:22;GET;/info.php;404;
65.49.20.68;2023-10-14 05:31:27;GET;/;404;
182.50.135.33;2023-10-14 05:32:19;GET;/wordpress/;301;
182.50.135.33;2023-10-14 05:32:22;GET;/wordpress/;301;
182.50.135.33;2023-10-14 05:32:22;GET;/wordpress;404;
202.43.45.167;2023-10-14 05:32:43;GET;/wp-login.php;301;
202.43.45.167;2023-10-14 05:32:45;GET;/wp-login.php;200;
65.49.20.68;2023-10-14 05:32:52;GET;/favicon.ico;404;
65.49.20.68;2023-10-14 05:33:19;GET;/geoserver/web/;404;
205.210.31.145;2023-10-14 05:33:33;GET;/;302;
178.128.110.234;2023-10-14 05:38:10;GET;/wp-login.php;301;
178.128.110.234;2023-10-14 05:38:12;GET;/wp-login.php;404;
45.79.172.21;2023-10-14 05:38:32;GET;/;302;
138.197.44.168;2023-10-14 05:38:48;GET;/;404;
138.197.44.168;2023-10-14 05:38:49;GET;/;302;
45.79.172.21;2023-10-14 05:41:10;GET;/;404;
193.35.18.187;2023-10-14 05:56:54;CONNECT;google.com:443;400;
66.249.64.174;2023-10-14 05:59:59;GET;/robots.txt;404;
66.249.64.174;2023-10-14 05:59:59;GET;/?u=Damia;200;
66.249.64.172;2023-10-14 06:00:01;GET;/libs/js/jquery.magnific-popup.min.js;200;
174.138.61.44;2023-10-14 06:01:12;GET;/;400;
174.138.61.44;2023-10-14 06:01:12;GET;/;302;
174.138.61.44;2023-10-14 06:01:13;GET;/api;200;
174.138.61.44;2023-10-14 06:01:13;;;400;
92.81.30.47;2023-10-14 06:02:08;GET;/wp-login.php;301;
205.210.31.80;2023-10-14 06:09:14;GET;/;200;
34.64.218.102;2023-10-14 06:09:25;GET;/wp-login.php;301;
34.64.218.102;2023-10-14 06:09:29;GET;/wp-login.php;404;
205.210.31.235;2023-10-14 06:09:59;GET;/;302;
205.210.31.235;2023-10-14 06:09:59;GET;/api;200;
198.235.24.55;2023-10-14 06:11:24;GET;/;302;
198.235.24.55;2023-10-14 06:11:24;GET;/;502;
198.235.24.55;2023-10-14 06:11:25;GET;/?u=_mta-sts;200;
173.214.166.170;2023-10-14 06:14:10;GET;/;404;
83.97.73.87;2023-10-14 06:23:42;GET;/actuator/gateway/routes;404;
198.235.24.48;2023-10-14 06:28:00;GET;/;301;
34.222.153.43;2023-10-14 06:36:34;HEAD;/;301;
34.222.153.43;2023-10-14 06:36:35;HEAD;/;502;
119.23.79.40;2023-10-14 06:38:44;GET;/wp-login.php;301;
119.23.79.40;2023-10-14 06:38:46;GET;/wp-login.php;404;
200.53.20.118;2023-10-14 06:39:06;GET;/;404;
52.167.144.233;2023-10-14 06:40:13;GET;/view/actualite.html;304;
205.210.31.137;2023-10-14 06:41:15;GET;/;302;
205.210.31.137;2023-10-14 06:41:16;GET;/?u=_bimi;200;
35.93.1.127;2023-10-14 06:49:06;GET;/;301;
35.93.1.127;2023-10-14 06:49:06;GET;/;502;
125.212.192.111;2023-10-14 06:51:19;GET;/wp-login.php;301;
125.212.192.111;2023-10-14 06:51:21;GET;/wp-login.php;404;
66.249.64.173;2023-10-14 06:53:20;GET;/?u=Bertilo;200;
185.225.73.177;2023-10-14 06:57:13;CONNECT;google.com:443;400;
172.104.11.51;2023-10-14 07:00:38;;;400;
103.47.185.185;2023-10-14 07:00:51;GET;/wp-login.php;301;
103.47.185.185;2023-10-14 07:00:54;GET;/?u=bot-hiu;200;
185.221.182.108;2023-10-14 07:09:04;GET;/wp-login.php;301;
185.221.182.108;2023-10-14 07:09:05;GET;/?u=wifizara-back;200;
205.210.31.43;2023-10-14 07:14:38;GET;/;502;
112.66.109.222;2023-10-14 07:14:52;GET;/;301;
124.66.74.196;2023-10-14 07:15:23;GET;/favicon.ico;301;
124.66.74.196;2023-10-14 07:15:25;GET;/?u=chatgpt;200;
124.66.74.196;2023-10-14 07:15:27;GET;/;302;
218.95.226.215;2023-10-14 07:16:23;GET;/favicon.ico;302;
218.95.226.215;2023-10-14 07:16:35;GET;/?u=chatgpt;200;
139.59.2.175;2023-10-14 07:17:07;GET;/wp-login.php;301;
139.59.2.175;2023-10-14 07:17:09;GET;/wp-login.php;502;
177.70.28.242;2023-10-14 07:22:24;GET;/wp-login.php;301;
177.70.28.242;2023-10-14 07:22:26;GET;/?u=hiu-front;200;
103.47.185.185;2023-10-14 07:24:40;GET;/wp-login.php;301;
103.47.185.185;2023-10-14 07:24:44;GET;/wp-login.php;404;
198.199.108.39;2023-10-14 07:29:40;GET;/manager/html;400;
74.50.80.82;2023-10-14 07:38:01;GET;/;404;
74.50.80.82;2023-10-14 07:38:01;GET;/;404;
74.50.80.82;2023-10-14 07:38:01;GET;/;404;
74.50.80.82;2023-10-14 07:38:01;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:02;GET;/;404;
74.50.80.82;2023-10-14 07:38:03;GET;/;404;
205.210.31.204;2023-10-14 07:40:17;GET;/;301;
38.242.140.200;2023-10-14 07:42:31;GET;/wp-login.php;301;
